	delta	fk	interpolation_change_J_norm	interpolation_condition_number	interpolation_error	interpolation_total_residual	iter_this_run	iter_type	iters_total	max_distance_xk	nf	norm_gk	norm_sk	npt	nruns	nsamples	nx	poisedness	ratio	rho	rk	slow_iter	xk
0	0.12	24.2	5.192539495	3.732050808	1.77E-30	562.9691264	0	Very successful	0	0.12	3	241.1848606	0.12	3	0	3	3	2.414213562	0.966943836	0.12	[-4.4  2.2]	0	[-1.2  1. ]
1	0.48	6.334512363	1.149910836	4.684765716	1.77E-30	503.9951138	1	Very successful	1	0.239529355	4	76.62917583	0.48	3	0	3	4	3.771327431	0.797097312	0.12	[-1.40434778  2.08861669]	0	[-1.08861669  1.04465151]
2	1.92	3.994957102	1.325867309	7.257783307	1.40E-29	30.16730272	2	Unsuccessful (geom not fixed)	2	0.556254363	5	43.4630985	1.92	3	0	3	5	9.330549073	-34.34751411	0.12	[-0.7744916  1.8425851]	-1	[-0.8425851  0.6325005]
3	0.96	3.994957102	3.464915931	22.16099755	4.04E-28	32.96595429	3	Unsuccessful (geom not fixed)	3	1.92	6	60.22321312	0.96	3	0	3	6	5.748323758	-0.419491973	0.12	[-0.7744916  1.8425851]	-1	[-0.8425851  0.6325005]
4	0.48	3.994957102	2.512256568	19.01165342	7.52E-29	0.084150814	4	Very successful	4	0.96	7	69.41026688	0.48	3	0	3	7	5.328691892	1.000275616	0.12	[-0.7744916  1.8425851]	0	[-0.8425851  0.6325005]
5	1.92	2.318321107	0.339930829	26.44114915	1.38E-29	0.046722687	5	Unsuccessful (geom not fixed)	5	1.028132824	8	2.098152667	1.92	3	0	3	8	23.16266556	-128.0958929	0.12	[0.01806926 1.52249618]	-1	[-0.52249618  0.27480918]
6	0.96	2.318321107	7.144402217	36.27901808	3.13E-28	80.04218548	6	Unsuccessful (geom not fixed)	6	1.92	9	2.478306746	0.96	3	0	3	9	9.247519815	-10.43257949	0.12	[0.01806926 1.52249618]	-1	[-0.52249618  0.27480918]
7	0.48	2.318321107	7.484864052	55.23672679	1.16E-27	0.058243784	7	Successful	7	1.028132824	10	3.985609653	0.48	3	0	3	10	13.13844168	0.243642715	0.12	[0.01806926 1.52249618]	0	[-0.52249618  0.27480918]
8	0.48	2.088824097	5.942862728	221.545834	1.40E-27	5.435575178	8	Unsuccessful (geom not fixed)	8	1.507725405	11	313.4305847	0.48	3	0	3	11	29.39867597	-10.8412893	0.12	[-0.84406529  1.17319133]	-1	[-0.17319133 -0.05441129]
9	0.24	2.088824097	21.06088378	220.0965577	2.95E-27	13.61352771	9	Unsuccessful (geom not fixed)	9	0.48	12	435.3628207	0.24	3	0	3	12	52.87511423	-3.565907248	0.12	[-0.84406529  1.17319133]	-1	[-0.17319133 -0.05441129]
10	0.12	2.088824097	15.26506492	121.0918263	4.25E-30	14.8726853	10	Unsuccessful (geom not fixed)	10	0.48	13	42.99476624	0.12	3	0	3	13	12.57870734	-3.360369362	0.12	[-0.84406529  1.17319133]	-1	[-0.17319133 -0.05441129]
11	0.06	2.088824097	5.782225521	10.54817029	1.48E-31	29.92818906	11	Very successful	11	0.24	14	16.32492863	0.06	3	0	3	14	1.657500556	1.072720751	0.012	[-0.84406529  1.17319133]	0	[-0.17319133 -0.05441129]
12	0.24	1.362885669	0.779423298	7.876598773	9.81E-31	52.14454545	12	Very successful	12	0.264408621	15	5.264576042	0.24	3	0	3	15	2.916499806	0.969034679	0.012	[-0.22226727  1.14607283]	0	[-0.14607283 -0.00088946]
13	0.96	0.840757385	0.991637935	3.442015667	2.00E-32	44.34043828	13	Unsuccessful (geom not fixed)	13	0.24	16	3.278476325	0.906763948	3	0	3	16	5.828642539	-127.5482462	0.012	[-0.14042211  0.90611203]	-1	[ 0.09388797 -0.00522726]
14	0.48	0.840757385	3.511813213	11.3832655	1.30E-29	1.166747841	14	Successful	14	0.906763948	17	4.207638941	0.48	3	0	3	17	3.441673792	0.252663594	0.012	[-0.14042211  0.90611203]	0	[ 0.09388797 -0.00522726]
15	0.48	0.698453923	1.69690078	22.70104192	2.19E-30	1.730774746	15	Unsuccessful (geom fixed)	15	0.698112364	18	20.67875194	0.48	3	0	3	18	6.174927726	-12.93290617	0.012	[0.64883824 0.52674744]	-1	[0.47325256 0.28885181]
